Segment,Region,Sub-Category,Group,Period,Sales (USD),Profit (USD),Discount,Quantity
Corporate,Central,Fasteners,Low-Value,Jul 2020,42,6,0,59
Consumer,West,Other Miscellaneous 2,Low-Value,Jul 2020,32,8,0,60
Consumer,Central,Furnishings,High-Value,Jan 2022,103,16,0,57
Home Office,South,Other Miscellaneous 3,Low-Value,Jan 2020,23,5,0,57
Corporate,Central,Art,Low-Value,Jul 2021,73,5,0,60
Corporate,Central,Other Miscellaneous 5,Low-Value,Jan 2020,9,1,0,60
Home Office,East,Supplies,Mid-Value,Jan 2022,78,1,0,60
Consumer,West,Business Machines,High-Value,Jan 2021,168,15,0,59
Consumer,South,Employees (Office Supplies),Low-Value,Jul 2021,50,12,0,63
Consumer,West,Business Machines,High-Value,Jan 2022,181,17,5,62
Consumer,Central,Business Machines,High-Value,Jul 2021,162,11,0,63
Consumer,Central,Other Miscellaneous 1,Low-Value,Jul 2022,41,7,0,58
Corporate,Central,Art,Low-Value,Jul 2022,36,4,5,60
Consumer,Central,Other Miscellaneous 1,Low-Value,Jan 2020,59,6,0,59
Corporate,West,Supplies,Mid-Value,Jul 2020,88,14,0,61
Consumer,West,Other Miscellaneous 1,Low-Value,Jan 2022,41,1,0,61
Consumer,East,Fasteners,Low-Value,Jul 2022,54,1,0,60
Consumer,Central,Other Miscellaneous 3,Low-Value,Jul 2022,1,1,10,62
Consumer,Central,Copiers,High-Value,Jul 2022,133,19,5,59
Corporate,Central,Other Miscellaneous 1,Low-Value,Jul 2021,72,8,0,59
Consumer,Central,Furnishings,High-Value,Jan 2020,121,8,0,64
Corporate,East,Labels,Low-Value,Jul 2020,55,13,0,62
Consumer,Central,Accessories,High-Value,Jul 2022,150,14,0,60
Consumer,West,Appliances,High-Value,Jul 2021,116,13,0,60
Home Office,Central,Other Miscellaneous 1,Low-Value,Jan 2020,42,8,5,61
Consumer,Central,Other Miscellaneous 4,Low-Value,Jan 2021,13,1,0,55
Home Office,East,Furnishings,High-Value,Jan 2022,123,20,0,63
Home Office,Central,Business Machines,High-Value,Jan 2022,184,23,0,63
Consumer,West,Art,Low-Value,Jan 2020,74,15,5,63
Home Office,East,Employees (Office Supplies),Low-Value,Jan 2022,45,1,0,63
Consumer,East,Other Miscellaneous 6,Low-Value,Jan 2020,9,1,0,61
Home Office,West,Other Miscellaneous 5,Low-Value,Jul 2022,7,5,0,61
Home Office,East,Bookcases,High-Value,Jan 2022,108,9,0,64
Corporate,West,Other Miscellaneous 5,Low-Value,Jul 2020,1,4,0,60
Consumer,West,Other Miscellaneous 1,Low-Value,Jan 2021,7,1,0,59
Consumer,East,Other Miscellaneous 5,Low-Value,Jan 2020,1,1,0,58
Consumer,West,Labels,Low-Value,Jan 2022,34,6,0,60
Consumer,West,Other Miscellaneous 3,Low-Value,Jul 2022,26,3,0,64
Consumer,Central,Other Miscellaneous 4,Low-Value,Jul 2021,44,2,0,59
Consumer,West,Other Miscellaneous 6,Low-Value,Jul 2021,26,1,0,60
Consumer,Central,Labels,Low-Value,Jul 2022,103,13,0,60
Corporate,West,Paper,Mid-Value,Jul 2020,102,14,5,62
Consumer,West,Copiers,High-Value,Jul 2021,112,22,0,63
Consumer,South,Appliances,High-Value,Jul 2022,107,5,0,61
Corporate,South,Labels,Low-Value,Jul 2020,24,1,0,61
Home Office,East,Employees (Office Supplies),Low-Value,Jan 2021,43,1,0,59
Home Office,South,Furnishings,High-Value,Jan 2022,119,21,0,61
Corporate,East,Other Miscellaneous 6,Low-Value,Jan 2020,1,1,0,59
Consumer,West,Accessories,High-Value,Jul 2020,185,25,0,63
Consumer,East,Copiers,High-Value,Jul 2020,193,22,0,67
Corporate,East,Other Miscellaneous 6,Low-Value,Jan 2020,33,6,0,63
Consumer,South,Supplies,Mid-Value,Jul 2022,104,15,0,60
Consumer,South,Labels,Low-Value,Jul 2022,30,1,0,59
Home Office,Central,Art,Low-Value,Jul 2021,75,8,0,59
Consumer,Central,Employees (Office Supplies),Low-Value,Jul 2021,42,7,0,61
Corporate,South,Other Miscellaneous 3,Low-Value,Jan 2022,7,1,0,61
Home Office,West,Other Miscellaneous 4,Low-Value,Jul 2021,32,1,0,60
Home Office,West,Labels,Low-Value,Jul 2022,53,3,0,61
Corporate,West,Other Miscellaneous 6,Low-Value,Jan 2021,17,1,0,56
Consumer,East,Copiers,High-Value,Jan 2022,132,14,0,60
Consumer,Central,Other Miscellaneous 5,Low-Value,Jul 2022,8,1,0,60
Home Office,West,Other Miscellaneous 4,Low-Value,Jan 2022,3,1,10,59
Corporate,Central,Other Miscellaneous 3,Low-Value,Jan 2021,12,1,0,62
Corporate,East,Art,Low-Value,Jan 2022,89,11,0,62
Corporate,West,Other Miscellaneous 3,Low-Value,Jan 2021,8,1,0,58
Consumer,South,Copiers,High-Value,Jul 2021,168,20,0,59
Home Office,Central,Other Miscellaneous 3,Low-Value,Jan 2022,1,3,0,59
Consumer,West,Other Miscellaneous 1,Low-Value,Jul 2020,80,5,0,63
Consumer,South,Other Miscellaneous 5,Low-Value,Jan 2020,1,1,0,61
Consumer,West,Paper,Mid-Value,Jan 2020,133,26,0,61
Corporate,West,Other Miscellaneous 4,Low-Value,Jan 2021,1,2,0,59
Consumer,East,Other Miscellaneous 3,Low-Value,Jan 2021,12,7,0,60
Home Office,East,Paper,Mid-Value,Jul 2020,103,9,0,59
